id,origin,destination,airline,flightNumber,duration,price,departureTime
1,VIE,FRA,Lufthansa,LH1234,75,150.50,08:00
2,VIE,MUC,Austrian,OS111,60,120.00,09:30
3,VIE,LHR,British Airways,BA456,135,220.00,10:00
4,VIE,JFK,Austrian,OS35,580,662.52,10:35
5,FRA,JFK,Lufthansa,LH400,480,550.00,11:00
6,FRA,LHR,Lufthansa,LH900,90,180.00,07:30
7,FRA,CDG,Air France,AF1234,75,140.00,14:00
8,MUC,JFK,Lufthansa,LH410,520,600.00,12:00
9,MUC,LHR,British Airways,BA950,110,200.00,15:00
10,LHR,JFK,British Airways,BA117,450,520.00,13:00
11,LHR,CDG,Air France,AF1388,70,130.00,16:00
12,CDG,JFK,Air France,AF007,460,580.00,14:30
13,AMS,JFK,KLM,KL641,480,590.00,15:00
14,AMS,LHR,KLM,KL1001,65,145.00,08:30
15,ZRH,JFK,Swiss,LX14,510,610.00,16:00
16,ZRH,VIE,Austrian,OS562,80,135.00,17:00
17,DXB,VIE,Emirates,EK127,360,480.00,03:00
18,SIN,DXB,Emirates,EK354,420,720.00,23:00
19,VIE,DXB,Emirates,EK126,360,490.00,20:00
20,JFK,VIE,Austrian,OS36,540,680.00,18:00
21,VIE,CDG,Austrian,OS411,105,185.00,07:15
22,VIE,AMS,Austrian,OS321,95,165.00,14:20
23,VIE,ZRH,Swiss,LX1567,75,155.00,11:45
24,VIE,BCN,Vueling,VY8231,140,89.99,06:30
25,VIE,MAD,Iberia,IB3421,155,199.00,13:10
26,VIE,FCO,Austrian,OS503,90,175.00,16:25
27,VIE,PRG,Austrian,OS707,55,99.00,19:50
28,VIE,IST,Turkish Airlines,TK1886,145,220.00,21:30
29,FRA,LAX,Lufthansa,LH452,660,890.00,10:30
30,FRA,SFO,United,UA959,645,920.00,13:15
31,FRA,ORD,Lufthansa,LH430,545,780.00,09:45
32,FRA,DXB,Emirates,EK046,350,650.00,22:10
33,FRA,SIN,Singapore Airlines,SQ326,730,1150.00,23:30
34,FRA,HKG,Cathay Pacific,CX288,670,980.00,22:45
35,LHR,LAX,British Airways,BA269,645,850.00,11:20
36,LHR,SFO,United,UA901,630,870.00,12:40
37,LHR,ORD,American,AA87,505,720.00,10:15
38,LHR,HKG,Cathay Pacific,CX257,680,920.00,21:30
39,LHR,NRT,Japan Airlines,JL401,710,1050.00,19:45
40,LHR,SIN,Singapore Airlines,SQ317,780,1100.00,22:15
41,CDG,LAX,Air France,AF065,655,880.00,10:50
42,CDG,ORD,American,AA63,515,750.00,11:30
43,CDG,DXB,Emirates,EK076,395,670.00,14:35
44,CDG,SIN,Singapore Airlines,SQ336,755,1120.00,23:10
45,AMS,SFO,KLM,KL605,625,910.00,13:55
46,AMS,ORD,KLM,KL617,505,760.00,10:25
47,AMS,DXB,Emirates,EK149,380,640.00,15:20
48,MUC,LAX,Lufthansa,LH452,665,900.00,14:10
49,MUC,SIN,Singapore Airlines,SQ328,745,1140.00,22:50
50,ZRH,LAX,Swiss,LX40,650,895.00,13:30
51,ZRH,SIN,Singapore Airlines,SQ345,765,1160.00,23:20
52,BCN,JFK,Level,VY2621,495,450.00,12:30
53,BCN,LHR,Vueling,VY7821,125,79.99,08:15
54,BCN,CDG,Vueling,VY8001,95,69.99,17:40
55,MAD,JFK,Iberia,IB6251,510,520.00,11:45
56,MAD,LHR,British Airways,BA458,140,190.00,07:50
57,FCO,JFK,ITA Airways,AZ608,550,590.00,10:20
58,FCO,LHR,British Airways,BA548,155,210.00,14:35
59,PRG,LHR,British Airways,BA854,120,160.00,06:40
60,PRG,FRA,Lufthansa,LH1400,65,110.00,15:20
61,IST,VIE,Turkish Airlines,TK1885,145,230.00,08:15
62,IST,FRA,Lufthansa,LH1304,200,280.00,17:45
63,IST,LHR,Turkish Airlines,TK1979,225,310.00,19:30
64,DXB,SIN,Emirates,EK354,420,720.00,09:30
65,DXB,HKG,Emirates,EK384,485,780.00,03:15
66,DXB,NRT,Emirates,EK318,550,890.00,02:45
67,SIN,HKG,Singapore Airlines,SQ856,230,380.00,08:40
68,SIN,NRT,Singapore Airlines,SQ636,410,650.00,23:50
69,HKG,NRT,Cathay Pacific,CX520,275,420.00,10:25
70,HKG,LAX,Cathay Pacific,CX880,720,950.00,00:05
71,NRT,LAX,Japan Airlines,JL061,615,880.00,17:55
72,NRT,SFO,United,UA838,575,840.00,16:40
73,LAX,JFK,American,AA23,330,380.00,08:00
74,LAX,ORD,United,UA1532,265,320.00,09:15
75,LAX,SFO,Alaska,AS3441,75,99.00,06:30
76,SFO,JFK,United,UA1,365,420.00,07:45
77,SFO,ORD,United,UA1640,280,340.00,08:20
78,ORD,JFK,American,AA301,150,280.00,07:00
79,JFK,LAX,Delta,DL1,385,410.00,08:30
80,JFK,SFO,JetBlue,B6915,390,430.00,09:00